provider,bucket,file,leak_type,value,developer,first_seen,last_modified,age
azure,cloudsentinel-test,creds.env,env_db_password,MyDB@password!,unknown-dev,2025-07-20T20:25:48.282787,2025-07-20T20:26:21.399513,0
azure,cloudsentinel-test,creds.env,env_secret_key,abc123xyz,unknown-dev,2025-07-20T20:25:48.282787,2025-07-20T20:26:21.407275,0
azure,cloudsentinel-test,leak1.txt,aws_access_key,AKIAIOSFODNN7EXAMPLE,unknown-dev,2025-07-20T20:25:48.325701,2025-07-20T20:26:21.436593,0
azure,cloudsentinel-test,testing123.env,env_secret_key,abcd1234secret,unknown-dev,2025-07-20T20:25:11.292702,2025-07-20T20:26:21.490253,0
azure,cloudsentinel-test,testing456.json,env_api_key,sk_test_123456789,unknown-dev,2025-07-20T20:25:11.603461,2025-07-20T20:26:21.522244,0
aws,cloudsentinel-tests,testing123.env,env_secret_key,abcd1234secret,unknown-dev,2025-07-20T20:25:11.292702,2025-07-28T14:06:00.920603,7
aws,cloudsentinel-tests,testing123.log,aws_access_key,AKIAIOSFODNN7EXAMPLE,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:06:01.079910,7
aws,cloudsentinel-tests,testing123.log,slack_webhook,https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:06:01.085425,7
aws,cloudsentinel-tests,testing123.log,env_db_password,MyDatabasePassword!,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:06:01.091317,7
aws,cloudsentinel-tests,testing123.log,env_api_key,sk_test_abc123def456xyz,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:06:01.097286,7
aws,cloudsentinel-tests,testing456.json,env_api_key,sk_test_123456789,unknown-dev,2025-07-20T20:25:11.603461,2025-07-28T14:06:01.231711,7
azure,cloudsentinel-test,creds.env,env_db_password,MyDB@password!,unknown-dev,2025-07-20T20:25:48.282787,2025-07-28T14:06:20.941278,7
azure,cloudsentinel-test,creds.env,env_secret_key,abc123xyz,unknown-dev,2025-07-20T20:25:48.282787,2025-07-28T14:06:20.946539,7
azure,cloudsentinel-test,leak1.txt,aws_access_key,AKIAIOSFODNN7EXAMPLE,unknown-dev,2025-07-20T20:25:48.325701,2025-07-28T14:06:20.989562,7
azure,cloudsentinel-test,testing123.env,env_secret_key,abcd1234secret,unknown-dev,2025-07-20T20:25:11.292702,2025-07-28T14:06:21.048785,7
azure,cloudsentinel-test,testing456.json,env_api_key,sk_test_123456789,unknown-dev,2025-07-20T20:25:11.603461,2025-07-28T14:06:21.083002,7
aws,cloudsentinel-tests,testing123.env,env_secret_key,abcd1234secret,unknown-dev,2025-07-20T20:25:11.292702,2025-07-28T14:41:12.176699,7
aws,cloudsentinel-tests,testing123.log,aws_access_key,AKIAIOSFODNN7EXAMPLE,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:41:12.316364,7
aws,cloudsentinel-tests,testing123.log,slack_webhook,https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:41:12.323347,7
aws,cloudsentinel-tests,testing123.log,env_db_password,MyDatabasePassword!,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:41:12.330524,7
aws,cloudsentinel-tests,testing123.log,env_api_key,sk_test_abc123def456xyz,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T14:41:12.336621,7
aws,cloudsentinel-tests,testing456.json,env_api_key,sk_test_123456789,unknown-dev,2025-07-20T20:25:11.603461,2025-07-28T14:41:12.472393,7
aws,cloudsentinel-tests,testing123.env,env_secret_key,abcd1234secret,unknown-dev,2025-07-20T20:25:11.292702,2025-07-28T15:04:28.722381,7
aws,cloudsentinel-tests,testing123.log,aws_access_key,AKIAIOSFODNN7EXAMPLE,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T15:04:28.898875,7
aws,cloudsentinel-tests,testing123.log,slack_webhook,https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T15:04:28.904596,7
aws,cloudsentinel-tests,testing123.log,env_db_password,MyDatabasePassword!,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T15:04:28.910386,7
aws,cloudsentinel-tests,testing123.log,env_api_key,sk_test_abc123def456xyz,unknown-dev,2025-07-20T20:25:11.449426,2025-07-28T15:04:28.916165,7
aws,cloudsentinel-tests,testing456.json,env_api_key,sk_test_123456789,unknown-dev,2025-07-20T20:25:11.603461,2025-07-28T15:04:29.044351,7
